,10_Otago_00001 10_otago.,10_Otago_00002 10_otago.,10_Otago_00003 10_otago.,10_Otago_00004 10_otago.,11_Iceland_00001 11_iceland.,11_Iceland_00002 11_iceland.,11_Iceland_00003 11_iceland.,11_Iceland_00004 11_iceland.,15_Oxia_Sophia_00001 15_oxia_sophia.,15_Oxia_Sophia_00002 15_oxia_sophia.,15_Oxia_Sophia_00003 15_oxia_sophia.,15_Oxia_Sophia_00004 15_oxia_sophia.,2_Atacama_Red_00001 2_atacama_red.,2_Atacama_Red_00002 2_atacama_red.,2_Atacama_Red_00003 2_atacama_red.,2_Atacama_Red_00004 2_atacama_red.,3_Sabtha_00001 3_sabtha.,3_Sabtha_00002 3_sabtha.,3_Sabtha_00003 3_sabtha.,3_Sabtha_00004 3_sabtha.,4_Watchet_Bay_00001 4_watchet_bay.,4_Watchet_Bay_00002 4_watchet_bay.,4_Watchet_Bay_00003 4_watchet_bay.,4_Watchet_Bay_00004 4_watchet_bay.,4_Watchet_Bay_00005 4_watchet_bay.,4_Watchet_Bay_00006 4_watchet_bay.,5_Granby_00001 5_granby.,5_Granby_00002 5_granby.,5_Granby_00003 5_granby.,5_Granby_00004 5_granby.,6_Hydrothermal_Clay_00001 6_hydrothermal_clay.,6_Hydrothermal_Clay_00002 6_hydrothermal_clay.,6_Hydrothermal_Clay_00003 6_hydrothermal_clay.,6_Hydrothermal_Clay_00004 6_hydrothermal_clay.,7_Oxia_Teresa_00001 7_oxia_teresa.,7_Oxia_Teresa_00002 7_oxia_teresa.,7_Oxia_Teresa_00003 7_oxia_teresa.,7_Oxia_Teresa_00004 7_oxia_teresa.,8_Mudstone_00001 8_mudstone.,8_Mudstone_00002 8_mudstone.,8_Mudstone_00003 8_mudstone.,8_Mudstone_00004 8_mudstone.,9_Congo_00001 9_congo.,9_Congo_00002 9_congo.,9_Congo_00003 9_congo.,9_Congo_00004 9_congo.,00001 Standard.,00002 Standard.,00003 Standard.,Standard_retest_00001 Standard_retest.,Standard_retest_00002 Standard_retest.,Standard_retest_00003 Standard_retest.
1100.05281299,0.8954358925063719,0.9280712737015816,0.9220475309394303,0.9096979731377512,0.8053685568997271,0.8121106003715318,0.8788854707620831,0.8732125342903404,0.9525760954828639,0.9562096248167127,0.9537276572597571,0.9517276105895079,0.9848899637871749,0.9882618260287656,0.9878249109272372,0.9866025751176145,1.0,0.9998805656387345,0.9999901403720441,0.9996805693326795,0.9555814346094201,0.9885919962720947,0.9606457751418623,0.9836011700722733,0.9833596888987323,0.9632886259554356,0.9379098039624437,0.9359551064790739,0.9025915957786441,0.9277589268925696,0.9637179573679931,0.9662066273595027,0.9651945552162393,0.9534316053044342,0.9599531440166923,0.9597596710789291,0.9611976281881257,0.9613657353124115,0.9345438484611882,0.935038381614622,0.9355175488617162,0.9477489449896175,0.918646867992817,0.9304703498184531,0.9048588198880401,0.903961577288256,0.9999999999999998,1.0,0.9996733652033051,0.9973474001874193,0.9969400659857708,0.9973214510408561
1105.31879326,0.8940089574814056,0.9272109820049542,0.921171739841672,0.9084569841992136,0.8151932138815695,0.821747332400995,0.8866446362375845,0.8807861639480322,0.9516497363704695,0.9547551605544063,0.9527124232357551,0.9506943332312277,0.9835606804441526,0.9870412044330632,0.986593999953934,0.9852520190250511,0.9999271997179199,1.0,0.9998512569920193,0.9995712210152957,0.954367398020494,0.9879031663454388,0.9599838645792587,0.9826906383023479,0.9824763124658115,0.962507502578812,0.9379245172817038,0.9358662046762519,0.9023332106622713,0.927785622301487,0.9650278198593405,0.9671119724352703,0.9664745014132861,0.9549955650394026,0.9606226034726686,0.9605315774649666,0.9620296911459133,0.9621733541507549,0.9333830274167639,0.9342340750815085,0.9346593137834239,0.947305306616036,0.9172949707786894,0.9291994219703619,0.9037660417095039,0.9021888020056985,0.9999999999999998,0.9999500262693362,0.9997231978971176,0.9974044811725937,0.9969242316631974,0.997324028064327
1110.586164,0.8927959402416366,0.9263543127204934,0.9204158246847852,0.9072175077223225,0.8252410312019143,0.8310421113840386,0.8943030853719535,0.8882895976211367,0.9506157383437573,0.9534305748765282,0.951726100209869,0.9497511602961829,0.9821509652503093,0.9858332238128805,0.9856431746256131,0.9839001073691463,0.9997991136429525,0.9999782249670306,0.9995026722735258,0.9994563868390168,0.9534082320219792,0.9870472470378555,0.9591319081338129,0.9816530009674271,0.9818305272429294,0.9616763627257557,0.9383546774120015,0.9358287706732203,0.9021670190471376,0.9281633506841328,0.9663231926999175,0.9680675950797936,0.9678128457187269,0.9566128393701174,0.9613686815746415,0.9613815058115233,0.9629872423187557,0.9629466927244618,0.9325179084782532,0.9331339646889452,0.9340041269025638,0.9471576646839182,0.9159108817137414,0.9280186407791376,0.9025481181315924,0.9005539343059662,0.9999999999999998,1.0,0.9995392247518045,0.9974304702106875,0.9968940759775102,0.9973054464820725
1115.8549131,0.8919957162292502,0.9255220632777618,0.9196623029520183,0.9061223609691881,0.8349625807482381,0.8402551795454177,0.9015792658142007,0.8956981219372613,0.9494989395382386,0.9521121608077016,0.950654680680543,0.9488901094821279,0.9805828102407592,0.984493560661884,0.9843450394995823,0.9823488299138939,0.9993598315143849,0.9998909631384663,0.9992250106586642,0.9992507912060704,0.9527579585303344,0.9865863678536483,0.9586700252299494,0.9809447481848046,0.981238470111692,0.9609519565414777,0.938990363089938,0.9361068789042725,0.9024116190083123,0.9284463637637582,0.9676063870666818,0.9692479052814301,0.9692687836298659,0.9582620990571523,0.9621083111932308,0.9620487683972457,0.9638992386562718,0.9636920490975389,0.9317141853026655,0.9321040739507256,0.9332046655982758,0.9471055669792768,0.9149155592665039,0.9270320421033783,0.9015191622390143,0.8993917292506787,0.9999999999999998,1.0,0.9995053832985464,0.9972985226551947,0.9967840205104264,0.9972904263234764
1121.12502863,0.8911988979478553,0.9245933088798841,0.919158326447837,0.9051755038044196,0.8443822629551784,0.8492133645733246,0.908732529218931,0.9023965932414183,0.9483641970227773,0.9506857629448593,0.9494190145411664,0.9480429182935514,0.9788180593873032,0.9831701867916826,0.9830105708435741,0.9808893890941988,0.9985561058232865,0.999268410907416,0.998802184486791,0.9985360539972561,0.9519691078485721,0.986002658016675,0.9581597893001192,0.9804078281775899,0.9805825916760289,0.9602830394542857,0.9396254162093822,0.9363756370372748,0.9028719677420625,0.9286791547814492,0.9687827480966277,0.9703770197279383,0.9707066114466751,0.9598132609109435,0.9629531061353659,0.9627480453000992,0.9647977252552622,0.9645291334593032,0.9308130878424193,0.9314824158097835,0.9322471398886208,0.9466877409005319,0.9138576020314386,0.9261990512281679,0.9004551635455686,0.8986160119277002,0.9999999999999998,1.0,0.9995719475008932,0.9972380045603366,0.9968167538222313,0.9971978124458681
1126.42117712,0.8904532242094823,0.9237069233668084,0.9185958710910668,0.9040440061797153,0.8532348139187172,0.8579607638540278,0.9152998170666158,0.9084891605201812,0.9471240705165733,0.9491878405259621,0.9481678323151398,0.9473912050013372,0.9770041701729263,0.9814853719497576,0.9814434541540801,0.9791511133100694,0.9972215693889763,0.9984677861904733,0.9979854838050276,0.9977101622636219,0.9511616551038166,0.985392735487222,0.9575584799452688,0.9799476913363222,0.9798369832184749,0.959494031314338,0.9403815512137544,0.9366699330892528,0.9034031092625983,0.9287820066633846,0.9700433484890623,0.9714841339466372,0.9718808880864983,0.9614610008516777,0.9636010465364482,0.9630569691307388,0.9655293969009097,0.9650039983210887,0.9294475768740206,0.9308698437993204,0.9312471170680982,0.9458836074966536,0.912827142317862,0.9252791117811026,0.8995350435832026,0.898177733914523,0.9999999999999998,0.999960837313067,0.9996978261255963,0.9969522846744374,0.9966235633127866,0.9970419663261967
1131.75559815,0.8899508729157178,0.9231799147398722,0.9183144205097796,0.903358582906449,0.8620124968540082,0.8669059592760666,0.9217966650468751,0.914810776189856,0.9460372399009256,0.948029276555388,0.947281500819788,0.9467558601086955,0.9754716779114176,0.9798994189751701,0.979872541355778,0.9775677046814543,0.9952863632908673,0.9974605544174615,0.996975639536367,0.9966966496642838,0.9506186519523213,0.9849056188534419,0.957075568699402,0.9795546482618761,0.9793526580240912,0.9589412171096281,0.941333432817769,0.9369937685290548,0.9042465618193507,0.9291118993561827,0.9715832134180086,0.9726700372649251,0.9733948181629296,0.963195776729646,0.9645900237254884,0.9637784580153127,0.9662885767243296,0.9658925707385189,0.9282270512750905,0.9304287905448598,0.930805072763445,0.9450700433686499,0.9125815513589485,0.9246002004807495,0.8988545718786374,0.8976976090703281,0.9999999999999998,1.0,0.9998566208566144,0.9968921195297752,0.996596642252426,0.9969330179696682
1137.12876151,0.8897212574548456,0.9230599134495657,0.9183030144279757,0.903407306829826,0.8706077723746237,0.8759879885963783,0.9280710847949027,0.9209850474957482,0.9453929295152979,0.9474437457460393,0.9465303859425676,0.9463773450927527,0.974365872384944,0.9786224881301305,0.9783584141811065,0.9759361652325128,0.9920131239336603,0.9958760611753668,0.99551840047707,0.9949867607457015,0.9501461881743075,0.9845037768006717,0.9568002050721501,0.9792635350733746,0.9790428512134383,0.9586973392953663,0.9424514720942904,0.9373777500430654,0.9049730427373053,0.9295531410772911,0.9730742854834928,0.9739070092217732,0.9749723629719682,0.9651356597337661,0.9655495853411401,0.9648849280544903,0.9672475217193258,0.9670308115140229,0.9276255509260697,0.9299943030815051,0.9301429000987875,0.9441950318783645,0.9128911589348689,0.9241339436017717,0.8986828403579125,0.8975915094412656,0.9999999999999998,1.0,0.9998990178732605,0.9970810112440339,0.9965529667565501,0.9969849672964847
1142.54114608,0.88941981010512,0.9229903224565666,0.9182366167653149,0.9034127358054301,0.878509836439899,0.88400087587179,0.9337566544342084,0.9264573440027851,0.9447200142814765,0.9470224402142359,0.9457763711772037,0.9456951520932105,0.9728934010478695,0.9769947737927294,0.9767946307650897,0.9740279948073803,0.9864666950472958,0.9933721054162764,0.993330431194827,0.9921493525296035,0.9496532703639459,0.9838429881187443,0.9564257415228009,0.9788619049809851,0.978497135100683,0.9584810871506249,0.943388657184758,0.9379239830393791,0.9052712701769471,0.9301414137990763,0.9746281035939653,0.9751532627769218,0.9763886992397085,0.966976130235582,0.966381662898668,0.9658284793905081,0.9682712338278101,0.9680585530130723,0.9270905498692772,0.929606247475862,0.9294032802633956,0.9433380813188628,0.9128657775091621,0.9237984164213123,0.8986478120407441,0.8976705478817024,0.9999999999999998,1.0,1.0,0.9971853001553774,0.9966672000158996,0.9969512950812324
1147.99324008,0.8891516664418119,0.9229359490679185,0.9182066115564751,0.9030944715629927,0.8859274502521056,0.8912830251505302,0.9387401291451691,0.9313033469693489,0.9438491106113143,0.9465316208847363,0.9448750258107038,0.9449494702079099,0.9712307765200401,0.9752236083014102,0.9751467364499183,0.9720892151030633,0.9779875066020056,0.9895348714497926,0.9898421283362832,0.9878758377624715,0.9489576446786404,0.9834395912996443,0.9561342397426561,0.9783757775202057,0.9778962911350034,0.9582851573505687,0.9439672449065205,0.9386754971518555,0.9054511272462611,0.9304904740187482,0.9759834429504117,0.976455493430984,0.9775472371044276,0.9688021395417113,0.9671557663183646,0.9668891452775056,0.9691421241080581,0.9686748877117802,0.9269464491156206,0.929213747856654,0.9283377044736701,0.9427295828740383,0.9131042621479105,0.9235230016115082,0.8984541576534971,0.8979275056319408,0.9999999999999998,0.9999903571656896,0.9998964824432995,0.9971351783678366,0.996696175479391,0.996928094357106
1153.48554133,0.8890310799160267,0.9230034316981212,0.9183470047160264,0.9029120016020341,0.8929302998189983,0.89799863497371,0.9434471693030964,0.9355667329525444,0.9430779793993107,0.9460230684681039,0.9439596417578382,0.944209587367286,0.9695058207795857,0.9735220728281148,0.973668190644105,0.970216794188506,0.9670216560654346,0.9846244810161924,0.9853217847561151,0.9817738705458636,0.948448527669855,0.983038381280288,0.955855604355981,0.9782869706088909,0.9775641087876423,0.9580244325964861,0.9444699948481765,0.9399698734698481,0.9059387022468978,0.9308589003324756,0.9772975699527013,0.9779698801295088,0.9787418245891477,0.9706860753415526,0.968216481669996,0.9678052237260207,0.9701697846252076,0.9694351256610984,0.9273656034382205,0.928843665934711,0.9272509006026948,0.9424976820434838,0.9134240642966361,0.9236890441250992,0.8984795623833081,0.8982727118774183,0.9999999999999998,0.9999881846769081,0.9996370763794183,0.9969491413794257,0.9967180397432562,0.9968601340308703
1158.99647413,0.8892694706208745,0.9232654869870838,0.918834199527426,0.9029714400660633,0.8990592651091514,0.904080154098945,0.9477938553019545,0.939430672920826,0.9424671654173103,0.9453252930603938,0.9431031510765641,0.9435989094835164,0.9679069148045383,0.9718989098466584,0.9722510972130827,0.9683579961283342,0.9535164380123717,0.9783871551770706,0.979450216742493,0.9744060162477937,0.9482140960288397,0.982666103451785,0.9554632880387708,0.9779437083686018,0.977339041156233,0.9576930282393994,0.9452483708751324,0.9410485915749989,0.9068424134774493,0.9314532121198948,0.9786985534863815,0.9794193492389238,0.9802601978223165,0.9726091909069146,0.9691884041806329,0.9685131851867236,0.9708725808610332,0.9703037858216415,0.9277651611780332,0.9287139609245133,0.9265684087985484,0.9423053977408895,0.9141485302068292,0.9240911760360068,0.8983405424989137,0.8986614925008478,0.9999999999999998,1.0,0.9996885967899899,0.9970786408623421,0.9968178797859749,0.9969092224208665
1164.48107738,0.8899233864539801,0.9238736615450938,0.9192866698249866,0.9034039942728898,0.9046768346993576,0.9097003626650166,0.9514282103017191,0.9432339506999743,0.9420862372298242,0.9450159234550449,0.9423869155994933,0.9433329158869633,0.966582699378707,0.9703713389280195,0.9709721179812788,0.9665121791848192,0.9391719526879032,0.9716872163265874,0.9730464083013588,0.9664567847618188,0.9481744131291295,0.9823318986862285,0.9552155501410987,0.9778833018616684,0.9771768772412455,0.9575946184236145,0.9468314527773305,0.9424049836426396,0.9085541815658773,0.932488995490097,0.9803404747487078,0.9811939546171055,0.9819698986801606,0.9747439743180181,0.9703231459095532,0.9693232547210405,0.9719738188153879,0.9717169516373436,0.9280352089742564,0.9290414937888632,0.9265321965968274,0.9423003987395099,0.914684461983638,0.9248572221457235,0.8986849349332668,0.8995324680850427,0.9999999999999998,1.0,0.9994783550922252,0.9970722620783332,0.9968269341182394,0.9969171942217859
1169.93996942,0.8908971508738933,0.924976619584641,0.9199745872606666,0.9039693246054616,0.9096343798183688,0.9149455629332537,0.9543783094056745,0.946837065429909,0.9421603085848368,0.944975030715894,0.9419586368428787,0.9431620788946358,0.9649650327180188,0.9689770073342016,0.9695159921689578,0.9645852116754225,0.9252221831879346,0.965297186256549,0.9670868241053177,0.9592096242794235,0.9485830546596369,0.9824191833693436,0.955073653392148,0.9778736155933624,0.9771668376654797,0.9577580655492691,0.9489084520581862,0.9437671723862371,0.9104611239404694,0.9339505309049578,0.9821016888369439,0.9830017743914992,0.9837501596278795,0.9769875374832051,0.9712805446039083,0.9702054897996336,0.9730309173050015,0.9730363178434441,0.9281856870374213,0.9294123373572448,0.9268867468351868,0.9426748627293702,0.915159554889967,0.9257163167280856,0.8991998844689304,0.9007056962590858,0.9999999999999998,1.0,0.9996202135656157,0.9970507543064352,0.9969519505676933,0.9967508385768724
1175.3737451,0.8916108802288895,0.9263109945606565,0.9206857999187592,0.904440044112404,0.913647456539913,0.9192937975499959,0.9571551327542771,0.9495881926880344,0.9422320773944096,0.9447799467865575,0.9413686301996774,0.9427578234060034,0.962704066177998,0.9673583936483611,0.9678686956142423,0.9626632659101517,0.9143501183579218,0.9600217686393052,0.9623460571433309,0.9535894759586305,0.948810593965734,0.9825964216414623,0.9549194558900108,0.9780293811652516,0.9775182610063445,0.9577709077218562,0.9511442095975166,0.9449812294827304,0.9123252741691255,0.9352389444709102,0.9834190112984745,0.9845707575264098,0.9854988578007648,0.9789557522789342,0.9720366265470366,0.9710485858608585,0.9741063410728787,0.9740165001991735,0.928377678910181,0.9299203361135253,0.9270888245499987,0.9428195782955173,0.9159490956641781,0.9265802618525231,0.8997810092077786,0.9016567405270653,0.9999999999999998,1.0,0.9997156354268879,0.9967779405957394,0.99672182361515,0.9967061285528562
1180.78297699,0.8923019618730937,0.9275873790248943,0.9215098456621964,0.9048976208748007,0.9172720383868798,0.9229375934828605,0.959290852280937,0.9516267517094196,0.9420040369455039,0.9444325715881753,0.9408806253428241,0.9422117675527434,0.960343287231506,0.9657589714382692,0.9659699201581857,0.9607341232935733,0.9071620542509864,0.9564674616478055,0.9589552590148352,0.9500234290587916,0.9491266473508991,0.9827434419245451,0.9550504569488801,0.978254688083528,0.9776774128573172,0.9578026372238042,0.9528284051210225,0.9461717496590801,0.9140030387214962,0.936655999675508,0.9845518874724214,0.9857379921210876,0.9869241985737501,0.9806127419425519,0.9724198215247765,0.97153598470201,0.9749018396588149,0.9746972128767785,0.9286798931278428,0.9302381059602662,0.9274796773330081,0.942899962063762,0.9167966807714482,0.9274752279703912,0.9003457172001512,0.9023536380423081,0.9999999999999998,1.0,0.9996864291508445,0.9967852053900055,0.99672187816087,0.9965360910488659
1186.16821657,0.8933614088345723,0.9293730587166272,0.9229099906858449,0.9058319901468178,0.9205565070307993,0.9262930639338826,0.96128511223219,0.9536690187780508,0.942020920102137,0.9443137685938786,0.9408835044913926,0.9418062192418869,0.9587064687673311,0.9641582244633403,0.9641291144204631,0.9591991798968257,0.9038150395677471,0.9549320956192978,0.9572981654353055,0.9485008329219088,0.9499698351449556,0.9833400637010038,0.9557467957592392,0.9786124774488719,0.9783709265302208,0.958312273329919,0.9548767306463657,0.9476396897157039,0.9159415250632752,0.9383889915046454,0.9860882937873412,0.9871219113719595,0.9884168418354637,0.9823068157910338,0.9731711309745804,0.9725561032211503,0.9757575171561202,0.9756498933447683,0.9295561915999554,0.9310829663783688,0.9283155523485055,0.9436426468906021,0.918196084579297,0.9286352762695148,0.9015538802708626,0.902808789698318,0.9999999999999998,1.0,0.9997619191487853,0.9966493032055804,0.9964933642362569,0.9964756429882838
1191.52999524,0.8947601929727731,0.9313684757820843,0.9247705847151657,0.9073021857381052,0.9234168421059895,0.9292256124815709,0.9636796664208297,0.9557591368114369,0.9425965928893171,0.9446097840726042,0.9412443820301397,0.9420476602250708,0.9574162456781607,0.9627784343756974,0.9627735326011195,0.9578495773288189,0.9030074765981323,0.9546110195548755,0.9568971773855256,0.9481053650824233,0.951124458786543,0.9841409276637167,0.9570401200568983,0.9794649624918219,0.9792694346130669,0.9592379019659333,0.9570484742310965,0.9493888186755214,0.9179998914865577,0.9406909886889219,0.9877088409316828,0.9888547587360655,0.9900040364870691,0.9843380678798045,0.9740392663607073,0.9734914769332019,0.9765294049832995,0.9768537888566836,0.9305083498494487,0.9325137757728971,0.9296741444473371,0.9446844467961065,0.9203005969986129,0.9301452592683976,0.9035124237530932,0.9040831568801224,0.9999999999999998,1.0,0.9998598104713885,0.9966646968931153,0.9964346939867026,0.9964328229772259
1196.89576018,0.8963980677900764,0.9332594504400739,0.9264029211523711,0.9086078575490157,0.9259980011015606,0.9317781150714938,0.9659931976332988,0.9571728521660209,0.9429196627533845,0.9449397142494091,0.9414106893282957,0.9421860026711458,0.9560165645395916,0.9615741507457819,0.9614441985158992,0.9562924014906897,0.903032581201353,0.9548865710413978,0.9567608440524381,0.9482063813514987,0.9523160036017436,0.9845927295564735,0.9582330849984259,0.9801055725385961,0.9799950881176546,0.9603889373108918,0.9589162013374654,0.9511002876033606,0.9202720352518942,0.94291621081457,0.9892837822666479,0.9903898965848562,0.991200555831895,0.9859537268476685,0.9746962488416442,0.9744185151659495,0.977347651461076,0.9777527675352984,0.9314466958915678,0.9335922142590928,0.9309705158457183,0.9453907023602676,0.9220468575408811,0.9317898278338959,0.9052971466933376,0.9055050857149621,0.9999999999999998,1.0,0.9996497111234665,0.9965518027228817,0.9964179230289473,0.9964340321392203
1202.26638934,0.8981308217158828,0.9352761649032473,0.9276948144722409,0.9098325652441174,0.9283512367464436,0.9338073928451122,0.9677321027928172,0.9579520928146985,0.9428929204204712,0.9450523516055177,0.9416370515139819,0.9425752053954155,0.9544350002912056,0.9601251751582579,0.960324894122593,0.9546867832344289,0.9038500699411318,0.955481119365,0.9572108810409878,0.9485581327263896,0.9535455429060151,0.9847441544491521,0.9593098254463246,0.9804862795181865,0.9806252907044477,0.9614509435178187,0.9609241508852201,0.9526061897336386,0.9225293151968481,0.94468100501517,0.9905243162314312,0.9915008841570809,0.9922840514831652,0.9875344318525565,0.9754902972472369,0.974909650512992,0.9781967232758126,0.9786570575288743,0.9323175965843792,0.934424232260442,0.9318076273288034,0.9457758676070447,0.9235421326078059,0.9330989392996596,0.9069948850940122,0.9070563406430556,0.9999999999999998,1.0,0.9994443742980033,0.996747637015635,0.9963759024914731,0.99650930581438
1207.64185238,0.8998146560991773,0.9372677227237197,0.9288195812465436,0.9113631566163519,0.9302575655837202,0.9353858239178654,0.9691847829901247,0.958519806644885,0.9430170961548898,0.94521548940142,0.9418089045667585,0.9429390276536405,0.9529766142806891,0.9588564540293519,0.95918136839943,0.953180007662199,0.9068983412472884,0.9570832201322109,0.9588461226187696,0.9502467833896541,0.9547278789012821,0.9852315082076254,0.9603785994182152,0.9811773139376243,0.9809939543407156,0.9627644751633615,0.9626431260319791,0.9541169150815725,0.9243845078181446,0.9461949675317748,0.9917040357639815,0.992718806925668,0.9933718936067792,0.9888509267854847,0.976291721232616,0.9755437045234998,0.9788628077196797,0.9794732480802162,0.9333404753400717,0.9352227966957952,0.9325549971913543,0.9461415394178447,0.9251563079457962,0.9343994190105716,0.9086785744927478,0.9086731890663811,0.9999999999999998,1.0,0.9994300887635644,0.9964867495076047,0.9965334083814427,0.9964908163620245
1213.0221192,0.9015558503794013,0.9394003889727143,0.9302360665456911,0.9129477689136293,0.9320844812707684,0.9369088791045915,0.9696306813598243,0.9590700108715714,0.9430139946490468,0.9456225436732316,0.9421267780110556,0.9432608377853463,0.9513260681535245,0.9576829937311025,0.9579625824123781,0.9517881691667334,0.9125476408986558,0.9598920473859518,0.9616270936309208,0.9536422068734219,0.9561121869549033,0.985778010929632,0.9616335739027719,0.9818864358790294,0.981354748382741,0.9641182092842562,0.9643683793572226,0.9557577966609146,0.9263823005678845,0.948252610115656,0.9928954213442714,0.9936621902580863,0.9946394958926152,0.9904675244899854,0.9770199537573104,0.9763243994514755,0.9796501406679726,0.9803050230606072,0.9348241909807594,0.9362358365102631,0.933469361259905,0.9465498941563529,0.9271675458960588,0.9360435678075839,0.9104459848871171,0.910637745255002,0.9999999999999998,1.0,0.9994826076834245,0.9965302854355468,0.9963978357635294,0.9965099869752714
1218.40715994,0.9035120472036995,0.9413769730176234,0.931900452538696,0.914843910362319,0.9338409315772214,0.9382715702224101,0.9700528849594952,0.9595760601704516,0.9434441461335269,0.9463501250333562,0.9424714198534676,0.9437341877448922,0.95002222884826,0.9564555275208836,0.9567761522850233,0.950511933926239,0.9193392106752558,0.9633412033927995,0.9649224070106798,0.9575383820241585,0.9573792863183193,0.9864753674444487,0.9630420878706194,0.9829111014071473,0.9818366361170464,0.9654307916011431,0.9664329837476748,0.9574350370500503,0.9284680414748648,0.9504694916972138,0.9940287070651874,0.9947168929632487,0.9957407046129673,0.9917852411935,0.9779752259397391,0.9772565813290495,0.9802917775572972,0.9809206122487356,0.9364389353098669,0.9374333881820603,0.9346540034351062,0.9468933642749137,0.9293413565307588,0.9379715593579906,0.9123134707046519,0.9127367816339148,0.9999999999999998,1.0,0.9994212961488944,0.9964173964191165,0.9964517665821683,0.9964039629732897
1223.79694502,0.90563983563399,0.9435570535786705,0.9337752676723189,0.9166224747865062,0.9355693230287828,0.9398423597984511,0.9702537162194175,0.9598702056525861,0.9441473575612787,0.9473383458044152,0.9431051967158102,0.9443985821519522,0.9486863184252947,0.9552680139756101,0.9555294257654736,0.9493967046200225,0.9256101713580349,0.9666827856410161,0.9682929869127627,0.9611403912952714,0.9587839221607337,0.9870331292887022,0.9647043991628824,0.9838203648222646,0.9821256509744899,0.9666617431096354,0.9685516465285824,0.9592683088179943,0.9307675797665542,0.9524777562145065,0.995298358233522,0.9956935723907329,0.9965428830040935,0.9932707238370836,0.9790398551827236,0.9783248860324155,0.9810895048025978,0.9818250109791935,0.9377760417701876,0.9387951274670948,0.9357536692000742,0.9480536772204758,0.9314699202162202,0.9396762879327175,0.9141366997944734,0.9149076990968221,0.9999999999999998,1.0,0.9993026529530673,0.9964196309383967,0.9964161553590364,0.9964074310263618
1229.190873,0.9076861853677853,0.9456348344080163,0.9355012421782671,0.9185403307569254,0.9368586064677783,0.9410989249576277,0.970201252074543,0.9605723207404092,0.9448424119012836,0.9481498160895482,0.94377772158396,0.9449544084569078,0.9472951867622537,0.953681181974278,0.9540473610113295,0.9479489773692257,0.9315397492101629,0.9695539584027196,0.9714327810645172,0.9645740068468734,0.9600459567159093,0.9874020218003591,0.9662762297303454,0.9845415279686854,0.9825855968431623,0.9680474095079759,0.9706360436323447,0.9609081532492912,0.9333744396925504,0.954365023466793,0.9962407317589665,0.9962866966087898,0.9973220841146496,0.9945816460595546,0.9798562674224032,0.9791612665802157,0.9821459159019491,0.9825661860911559,0.9386671601903177,0.9397665072499303,0.9370310455879899,0.9494244833614185,0.9333676660656168,0.9405698293695179,0.9156471058184638,0.9168235236173798,0.9999999999999998,1.0,0.9992537655419056,0.9965568992028135,0.9964329339499675,0.9964792798406068
1234.58829679,0.9096054968566745,0.9475639943818815,0.9371247745472556,0.9207974730494639,0.9380259797412563,0.9421997155186539,0.9707977807112,0.9615136262370704,0.9459337823122393,0.9489903740441422,0.94467559142975,0.945706424966061,0.9457592671918446,0.9521724884556113,0.9524512392730842,0.9463162247068806,0.9389016526295604,0.9729761022658431,0.9748682125868207,0.9685897951314417,0.9614310835569136,0.9880222795524679,0.9680813675716057,0.9852273497341572,0.9832987833384457,0.9695645264519654,0.9727223367952937,0.962401808153699,0.9361063358553909,0.9562312321807329,0.9969290913353996,0.9968981940158721,0.9979611351282066,0.995539744593445,0.9805850059541584,0.9798779016114596,0.983181450901265,0.9833910559401995,0.9397892502138878,0.9406944166083165,0.9384201613792885,0.9509047431212634,0.9351434497007223,0.9413534548024669,0.9171691147634311,0.918666354261031,0.9999999999999998,0.9999909639204313,0.9991303996697832,0.996562324111485,0.9965054719769401,0.9965284691890084
1239.98919257,0.9115548652843657,0.9498996681150931,0.938829232968375,0.9230706590293859,0.9389727164289277,0.9434731119772375,0.9719980985017521,0.9624552354358579,0.9469040435383036,0.9498738343001912,0.9456333963943419,0.9464697193794298,0.9443090053739027,0.9508173792966098,0.9509019469269677,0.944804172407558,0.9480169822427363,0.9774534530256449,0.9791215387561963,0.9736601033706852,0.9632132967432941,0.9886267214148976,0.9699371003283687,0.9861944402838728,0.9839788998738218,0.9713104017166097,0.9746205569882372,0.96416018915046,0.9387875610150456,0.9581958060919504,0.9977606237607883,0.9976803287120442,0.9985610820305405,0.9966114784446733,0.9815143328142023,0.9806472235400197,0.9842411721885009,0.9840751556219789,0.941240740373275,0.9416839090337046,0.9395283548342959,0.9526354752564291,0.9367935966638805,0.9425790874800626,0.9194370199483282,0.9206802982540868,0.9999999999999998,0.9999807251569965,0.9988051993150542,0.9966313352424839,0.9965093614210756,0.9965820943200778
