,10_Otago_00001 10_otago,10_Otago_00002 10_otago,10_Otago_00003 10_otago,10_Otago_00004 10_otago,11_Iceland_00001 11_iceland,11_Iceland_00002 11_iceland,11_Iceland_00003 11_iceland,11_Iceland_00004 11_iceland,15_Oxia_Sophia_00001 15_oxia_sophia,15_Oxia_Sophia_00002 15_oxia_sophia,15_Oxia_Sophia_00003 15_oxia_sophia,15_Oxia_Sophia_00004 15_oxia_sophia,2_Atacama_Red_00001 2_atacama_red,2_Atacama_Red_00002 2_atacama_red,2_Atacama_Red_00003 2_atacama_red,2_Atacama_Red_00004 2_atacama_red,3_Sabtha_00001 3_sabtha,3_Sabtha_00002 3_sabtha,3_Sabtha_00003 3_sabtha,3_Sabtha_00004 3_sabtha,4_Watchet_Bay_00001 4_watchet_bay,4_Watchet_Bay_00002 4_watchet_bay,4_Watchet_Bay_00003 4_watchet_bay,4_Watchet_Bay_00004 4_watchet_bay,4_Watchet_Bay_00005 4_watchet_bay,4_Watchet_Bay_00006 4_watchet_bay,5_Granby_00001 5_granby,5_Granby_00002 5_granby,5_Granby_00003 5_granby,5_Granby_00004 5_granby,6_Hydrothermal_Clay_00001 6_hydrothermal_clay,6_Hydrothermal_Clay_00002 6_hydrothermal_clay,6_Hydrothermal_Clay_00003 6_hydrothermal_clay,6_Hydrothermal_Clay_00004 6_hydrothermal_clay,7_Oxia_Teresa_00001 7_oxia_teresa,7_Oxia_Teresa_00002 7_oxia_teresa,7_Oxia_Teresa_00003 7_oxia_teresa,7_Oxia_Teresa_00004 7_oxia_teresa,8_Mudstone_00001 8_mudstone,8_Mudstone_00002 8_mudstone,8_Mudstone_00003 8_mudstone,8_Mudstone_00004 8_mudstone,9_Congo_00001 9_congo,9_Congo_00002 9_congo,9_Congo_00003 9_congo,9_Congo_00004 9_congo,00001 Standard,00002 Standard,00003 Standard,Standard_retest_00001 Standard_retest,Standard_retest_00002 Standard_retest,Standard_retest_00003 Standard_retest
1671.0,0.44686,0.467296,0.33692900000000003,0.221893,0.18601199999999998,0.167654,0.10023,0.10163,0.40875999999999996,0.422522,0.408442,0.409159,0.258577,0.239955,0.289297,0.293702,0.301216,0.43242600000000003,0.482359,0.38341500000000006,0.522306,0.450798,0.5374669999999999,0.45137700000000003,0.37449,0.546328,0.272491,0.19913599999999998,0.181843,0.195667,0.424623,0.350036,0.301498,0.370615,0.43497,0.431851,0.40651600000000004,0.424667,0.141812,0.152369,0.13827299999999998,0.18702100000000002,0.16054500000000002,0.14279,0.15656,0.160016,1.000132,0.999812,0.531008,0.9937609999999999,0.991099,0.9919159999999999
1672.0,0.44695999999999997,0.46760199999999996,0.337074,0.22201,0.185998,0.167691,0.10021200000000001,0.10162800000000001,0.40887500000000004,0.42266,0.40852499999999997,0.409219,0.258569,0.239955,0.28931,0.29376,0.301168,0.432209,0.482277,0.383305,0.522424,0.450902,0.537628,0.451532,0.37444099999999997,0.546453,0.27264299999999997,0.199187,0.182013,0.195871,0.424532,0.350083,0.301402,0.370649,0.43501100000000004,0.431912,0.406507,0.424769,0.141812,0.152339,0.1383,0.186951,0.160669,0.142823,0.156606,0.160127,1.000224,0.999834,0.53114,0.9936830000000001,0.990947,0.9919060000000001
1673.0,0.44711399999999996,0.467982,0.337274,0.22217099999999998,0.186014,0.16775400000000001,0.10021699999999999,0.101631,0.40905,0.422856,0.40866199999999997,0.409334,0.258598,0.239999,0.289352,0.29385,0.30112,0.43203600000000003,0.482226,0.383222,0.522594,0.451059,0.537822,0.451719,0.374446,0.546636,0.272822,0.199288,0.182216,0.196131,0.424499,0.350171,0.301341,0.37074599999999996,0.435107,0.43202599999999997,0.406563,0.424917,0.141841,0.152339,0.13836299999999999,0.186898,0.16084299999999999,0.14288800000000001,0.15668100000000001,0.160253,1.000316,0.999871,0.5313450000000001,0.993613,0.9908079999999999,0.9919159999999999
1674.0,0.447358,0.468372,0.33750199999999997,0.222377,0.18604099999999998,0.167812,0.10022700000000001,0.10162,0.409266,0.423073,0.408842,0.409508,0.258653,0.240061,0.28941700000000004,0.293959,0.301045,0.431915,0.48218000000000005,0.383164,0.522816,0.45123399999999997,0.538017,0.45189999999999997,0.374504,0.546858,0.273005,0.199425,0.182407,0.19639700000000002,0.424527,0.35028,0.301347,0.370871,0.435246,0.43215699999999996,0.406662,0.42507199999999995,0.141893,0.152369,0.13844099999999998,0.186889,0.16103,0.142983,0.15679,0.160363,1.000372,0.9999049999999999,0.531556,0.9935649999999999,0.990727,0.991957
1675.0,0.44774500000000006,0.468784,0.337774,0.22266200000000003,0.186081,0.167867,0.100245,0.101583,0.409553,0.423327,0.409082,0.40978099999999995,0.258745,0.24015,0.28951899999999997,0.294096,0.30095099999999997,0.431891,0.482152,0.383169,0.523127,0.45144399999999996,0.538221,0.45207299999999995,0.37465899999999996,0.5471509999999999,0.273201,0.19961600000000002,0.18257500000000002,0.19668500000000003,0.424645,0.35042900000000005,0.301464,0.371043,0.435452,0.432324,0.406824,0.42524,0.141989,0.152456,0.138545,0.18695,0.161247,0.143128,0.156959,0.160453,1.000372,0.999932,0.531791,0.99354,0.9907170000000001,0.9920310000000001
1676.0,0.44823300000000005,0.46923000000000004,0.33808900000000003,0.22300699999999998,0.186139,0.167928,0.100275,0.101533,0.409899,0.42361800000000005,0.409377,0.410129,0.258872,0.240268,0.289652,0.294261,0.30084099999999997,0.431937,0.48214100000000004,0.38321599999999995,0.523505,0.451691,0.53844,0.45225099999999996,0.374885,0.547502,0.273412,0.19985499999999998,0.182739,0.19700099999999998,0.42483699999999996,0.350613,0.301657,0.371263,0.435714,0.432526,0.40704500000000005,0.42542900000000006,0.142119,0.152584,0.138675,0.187059,0.161495,0.143313,0.157172,0.160534,1.000339,0.999959,0.532058,0.993532,0.9907590000000001,0.992133
1677.0,0.44872300000000004,0.46964399999999995,0.338393,0.22332999999999997,0.186199,0.16797,0.10030099999999999,0.101487,0.410226,0.423896,0.409674,0.410465,0.258992,0.240379,0.289784,0.294423,0.300674,0.43195,0.482106,0.38321399999999994,0.523867,0.45191400000000004,0.538635,0.452416,0.375085,0.54783,0.2736,0.20008900000000002,0.18289999999999998,0.197273,0.42503500000000005,0.350776,0.301841,0.371462,0.435971,0.43270600000000004,0.407265,0.42560000000000003,0.142227,0.152696,0.138789,0.187167,0.161713,0.143482,0.157369,0.160601,1.000298,0.9999859999999999,0.5322870000000001,0.9935590000000001,0.9908490000000001,0.9922669999999999
1678.0,0.449127,0.46996699999999997,0.33864,0.223561,0.186248,0.167969,0.10030900000000001,0.10146100000000001,0.410464,0.424112,0.409927,0.41071199999999997,0.259071,0.24045000000000002,0.289889,0.294558,0.300414,0.431846,0.48201099999999997,0.383085,0.524139,0.452061,0.538771,0.452555,0.37517,0.548061,0.273728,0.20027,0.18305800000000003,0.197435,0.42518,0.35087,0.30194299999999996,0.371577,0.436165,0.432809,0.407432,0.425715,0.142264,0.15274,0.138849,0.18723099999999998,0.16184300000000001,0.14358100000000001,0.157497,0.16064499999999998,1.000269,1.0000149999999999,0.532404,0.993637,0.9909910000000001,0.9924379999999999
1679.0,0.44947699999999996,0.470207,0.338842,0.223723,0.18628599999999998,0.16791899999999998,0.100298,0.10144700000000001,0.41063299999999997,0.424272,0.410159,0.410888,0.25912,0.24048100000000003,0.289974,0.294676,0.30006900000000003,0.431663,0.48186700000000005,0.382851,0.524348,0.45214,0.538851,0.452674,0.375154,0.548215,0.273796,0.200406,0.183212,0.19749,0.42528900000000003,0.35090400000000005,0.301978,0.37162,0.43630800000000003,0.43283099999999997,0.40756100000000006,0.425776,0.142234,0.152724,0.13886300000000001,0.18726099999999998,0.161888,0.143612,0.157565,0.16065300000000002,1.000244,1.0000499999999999,0.532405,0.993781,0.991213,0.992669
1680.0,0.4498,0.470408,0.339022,0.223844,0.186326,0.16785599999999998,0.100284,0.10144399999999999,0.41076599999999996,0.424413,0.410375,0.411035,0.25915299999999997,0.240503,0.290051,0.294784,0.299662,0.431417,0.48168999999999995,0.38255,0.524517,0.45218899999999995,0.5389050000000001,0.45277700000000004,0.375098,0.5483290000000001,0.273842,0.200528,0.183365,0.197498,0.42538899999999996,0.35091,0.30199000000000004,0.371632,0.436434,0.432832,0.407675,0.425817,0.142177,0.152684,0.138855,0.187281,0.16190000000000002,0.143624,0.157608,0.160657,1.000218,1.000081,0.53237,0.993948,0.99146,0.992913
1681.0,0.450116,0.470615,0.339202,0.223949,0.186379,0.16781600000000002,0.10028000000000001,0.101455,0.41089,0.42456499999999997,0.410574,0.411194,0.259179,0.240543,0.29012499999999997,0.29488800000000004,0.29921600000000004,0.43111499999999997,0.48149099999999995,0.38221400000000005,0.524663,0.452245,0.538969,0.452864,0.375062,0.548436,0.273905,0.20066900000000001,0.183522,0.19752199999999998,0.425499,0.350918,0.302013,0.371653,0.436575,0.432869,0.40779400000000005,0.42587400000000003,0.142129,0.152651,0.138845,0.18731,0.16192900000000002,0.143666,0.15765700000000002,0.16069,1.000193,1.000097,0.532387,0.994089,0.991666,0.993117
1682.0,0.450434,0.47085,0.339397,0.22403700000000001,0.186467,0.167825,0.100297,0.101492,0.411014,0.424754,0.41076500000000005,0.411389,0.259206,0.240621,0.290201,0.294998,0.29875399999999996,0.430768,0.4813,0.381867,0.52479,0.45232500000000003,0.5390630000000001,0.45293799999999995,0.37506799999999996,0.548563,0.274013,0.200854,0.183699,0.197588,0.42564,0.350949,0.302066,0.371706,0.43676200000000004,0.43298200000000003,0.40794400000000003,0.425971,0.142108,0.152642,0.13885,0.187363,0.162,0.143771,0.157728,0.16078199999999998,1.000164,1.000086,0.532505,0.994201,0.991808,0.993264
1683.0,0.450745,0.47109,0.339598,0.22409800000000002,0.18658000000000002,0.167861,0.100328,0.10155099999999999,0.411126,0.42496,0.410947,0.411599,0.259227,0.240721,0.290276,0.295109,0.298263,0.43037,0.481107,0.38149,0.524888,0.45241,0.53917,0.45299799999999996,0.37508899999999995,0.548691,0.274142,0.201066,0.183891,0.197665,0.42579900000000004,0.35098599999999996,0.30213,0.371772,0.436975,0.43313899999999994,0.40811,0.426086,0.142095,0.152642,0.138857,0.18742999999999999,0.162088,0.14391400000000001,0.157804,0.160911,1.000134,1.000057,0.532679,0.9943040000000001,0.9919169999999999,0.993381
1684.0,0.451042,0.47131999999999996,0.339778,0.224158,0.186673,0.167899,0.100358,0.10160399999999999,0.411227,0.425156,0.411095,0.41179699999999997,0.259237,0.240822,0.290343,0.29520399999999997,0.29770199999999997,0.4299,0.48084200000000005,0.381056,0.524969,0.452495,0.539266,0.45303800000000005,0.375121,0.548782,0.274268,0.201263,0.184059,0.19774899999999998,0.42594499999999996,0.35100499999999996,0.302197,0.37182499999999996,0.437165,0.43329799999999996,0.408245,0.42620199999999997,0.142083,0.152635,0.138848,0.187488,0.16217700000000002,0.14405400000000002,0.157879,0.16104,1.000108,1.000022,0.532869,0.9943569999999999,0.991985,0.993452
1685.0,0.451321,0.471522,0.339917,0.224244,0.18669899999999998,0.167913,0.10037599999999999,0.101621,0.41131500000000004,0.425315,0.41118299999999997,0.411957,0.259228,0.24090299999999998,0.290395,0.295263,0.29703399999999996,0.429336,0.480438,0.38053800000000004,0.525041,0.452573,0.539331,0.45304900000000004,0.375162,0.548798,0.274364,0.201403,0.184164,0.197839,0.426045,0.350976,0.30226,0.37183900000000003,0.437282,0.43341799999999997,0.408299,0.426297,0.142063,0.152608,0.13880699999999999,0.187517,0.162253,0.144154,0.157942,0.161129,1.000093,0.999991,0.533038,0.994319,0.992,0.993458
1686.0,0.45158099999999995,0.471706,0.340007,0.224349,0.18665199999999998,0.167913,0.100385,0.10159900000000001,0.41137799999999997,0.425437,0.411188,0.412072,0.259185,0.24096299999999998,0.290427,0.295279,0.29625,0.42865400000000003,0.479882,0.379922,0.5250900000000001,0.45264299999999996,0.539368,0.45301400000000003,0.375212,0.548725,0.274428,0.20148,0.18418700000000002,0.19794,0.426092,0.350879,0.302324,0.37180199999999997,0.43731699999999996,0.433505,0.408251,0.42637099999999994,0.142041,0.152566,0.13872400000000001,0.187517,0.16232500000000002,0.14422100000000002,0.157993,0.16118,1.000089,0.9999509999999999,0.533199,0.9941639999999999,0.991944,0.993374
1687.0,0.451825,0.47186799999999995,0.340068,0.224468,0.186564,0.167901,0.100387,0.101558,0.411432,0.425535,0.411153,0.412164,0.259133,0.241015,0.29044899999999996,0.295272,0.29537800000000003,0.42789499999999997,0.47922400000000004,0.37923900000000005,0.525128,0.45271,0.539382,0.45296,0.375272,0.5486,0.274476,0.201523,0.184173,0.198046,0.426112,0.350756,0.302387,0.37174399999999996,0.437307,0.43357300000000004,0.40815399999999996,0.426437,0.142014,0.152509,0.13862,0.187498,0.16239,0.144266,0.158038,0.161211,1.000093,0.999914,0.5333559999999999,0.993946,0.991846,0.9932420000000001
1688.0,0.452057,0.47199399999999997,0.34012099999999995,0.224604,0.186467,0.16787,0.10037900000000001,0.101517,0.411504,0.425621,0.41113999999999995,0.412258,0.259101,0.241067,0.290473,0.295267,0.29445,0.427115,0.478519,0.378523,0.52518,0.45277999999999996,0.5393760000000001,0.45292299999999996,0.37534100000000004,0.548469,0.274526,0.201562,0.184174,0.19814900000000002,0.426134,0.35066400000000003,0.302442,0.37170299999999995,0.43729399999999996,0.43363,0.40806800000000004,0.426505,0.141974,0.152439,0.138516,0.18746500000000002,0.162436,0.144292,0.158084,0.161238,1.000096,0.9998999999999999,0.533497,0.993735,0.991746,0.993125
1689.0,0.452277,0.47206899999999996,0.340171,0.22476700000000002,0.186373,0.16780799999999998,0.10035500000000001,0.10148099999999999,0.411617,0.425694,0.411177,0.412374,0.259115,0.241126,0.29051,0.295277,0.29347999999999996,0.426343,0.477798,0.377795,0.5252680000000001,0.45286000000000004,0.539353,0.45293,0.37541800000000003,0.54836,0.274586,0.20160799999999998,0.18421800000000002,0.198246,0.426173,0.350638,0.302486,0.37170000000000003,0.43729799999999996,0.433673,0.408026,0.426583,0.141907,0.152345,0.138423,0.187418,0.16245,0.144287,0.158138,0.161264,1.000093,0.999931,0.53362,0.9935649999999999,0.991665,0.993058
1690.0,0.45248399999999994,0.4721,0.340208,0.224959,0.186266,0.16771799999999998,0.10031499999999999,0.101438,0.411758,0.425747,0.411234,0.412503,0.25916,0.241187,0.290554,0.295289,0.292456,0.425555,0.477036,0.37703600000000004,0.525383,0.452947,0.539314,0.452963,0.375507,0.5482549999999999,0.274649,0.201647,0.184279,0.198341,0.42621400000000004,0.35064799999999996,0.302521,0.371716,0.43729999999999997,0.4337,0.407999,0.426665,0.141816,0.152225,0.138327,0.187354,0.162437,0.144249,0.158196,0.161281,1.000084,1.0000010000000001,0.533732,0.9934040000000001,0.99158,0.9930150000000001
1691.0,0.45268200000000003,0.47210799999999997,0.340248,0.225147,0.186159,0.167627,0.10027799999999999,0.101409,0.4119,0.42580199999999996,0.411321,0.41262,0.25921299999999997,0.24125,0.290592,0.295303,0.291379,0.424746,0.476228,0.37624899999999994,0.525492,0.453031,0.539247,0.45300199999999996,0.375597,0.5481320000000001,0.274714,0.20169,0.18435600000000002,0.198428,0.426261,0.350685,0.30255,0.37174799999999997,0.437303,0.433723,0.407985,0.426749,0.141728,0.152112,0.138239,0.187283,0.162419,0.14421699999999998,0.15825,0.161304,1.000084,1.00007,0.533823,0.9932529999999999,0.991502,0.9929770000000001
1692.0,0.452872,0.472112,0.340308,0.22529900000000003,0.186067,0.16756000000000001,0.10026199999999999,0.101412,0.41201,0.42587899999999995,0.411449,0.412705,0.25925,0.24131799999999998,0.29061,0.295319,0.290252,0.42391,0.47537100000000004,0.375438,0.52556,0.453102,0.539139,0.453029,0.37568199999999996,0.547971,0.274781,0.201747,0.18445,0.198502,0.426319,0.35074,0.302572,0.371796,0.43731499999999995,0.433757,0.407985,0.426832,0.141669,0.152037,0.13816599999999998,0.187215,0.162419,0.144231,0.15828799999999998,0.161347,1.000104,1.000101,0.533882,0.993114,0.9914400000000001,0.992932
1693.0,0.453043,0.47208500000000003,0.34037599999999996,0.225413,0.185987,0.16752,0.100275,0.10145699999999999,0.41208300000000003,0.425974,0.411628,0.412736,0.259266,0.241391,0.290601,0.295336,0.289078,0.42304699999999995,0.474462,0.374604,0.525578,0.45315,0.538979,0.45303800000000005,0.375766,0.547754,0.27484400000000003,0.201826,0.18457,0.19855699999999998,0.42639200000000005,0.350829,0.302584,0.371866,0.437326,0.43378999999999995,0.407997,0.426917,0.141645,0.152009,0.13811199999999998,0.187137,0.16243,0.144313,0.158301,0.161418,1.000159,1.000087,0.533876,0.992981,0.991383,0.992864
1694.0,0.453207,0.47204999999999997,0.340458,0.225503,0.185917,0.167495,0.100302,0.10152699999999999,0.412136,0.426084,0.411843,0.41274500000000003,0.259276,0.241468,0.29057700000000003,0.295355,0.287851,0.42216000000000004,0.47350499999999995,0.373743,0.52557,0.45319000000000004,0.538782,0.453043,0.375847,0.547507,0.27491,0.201914,0.184706,0.1986,0.42647399999999996,0.350937,0.302589,0.371951,0.437344,0.43383000000000005,0.408023,0.42700099999999996,0.141639,0.152008,0.13807,0.187058,0.162451,0.144424,0.158303,0.161503,1.000229,1.0000499999999999,0.533845,0.99286,0.991339,0.992794
1695.0,0.45338900000000004,0.472056,0.34057499999999996,0.225578,0.185856,0.16747900000000002,0.100326,0.1016,0.412191,0.42621499999999996,0.412076,0.41277200000000003,0.259292,0.24155200000000002,0.290556,0.295377,0.286567,0.42125100000000004,0.472509,0.372854,0.525558,0.453239,0.5385719999999999,0.45305700000000004,0.37591500000000005,0.547272,0.27499199999999996,0.201994,0.184837,0.198647,0.426557,0.351036,0.302597,0.37204,0.437386,0.433897,0.408069,0.42707700000000004,0.141637,0.152011,0.138036,0.187006,0.16249400000000003,0.144517,0.158316,0.16158799999999998,1.000286,1.000009,0.533858,0.99277,0.991332,0.992753
1696.0,0.453609,0.472152,0.340746,0.225639,0.185804,0.16747299999999998,0.100337,0.101666,0.41225700000000004,0.426379,0.41232100000000005,0.41284999999999994,0.25932,0.241649,0.290547,0.29540099999999997,0.285227,0.42033099999999995,0.47147799999999995,0.37194299999999997,0.5255610000000001,0.45331499999999997,0.538376,0.453099,0.375968,0.547081,0.275106,0.202053,0.18495799999999998,0.198705,0.426641,0.351106,0.302618,0.37213,0.43747,0.434017,0.40814,0.42713900000000005,0.141635,0.152012,0.138011,0.18700399999999998,0.16257000000000002,0.144558,0.158355,0.161664,1.00031,0.9999790000000001,0.533973,0.992722,0.991385,0.992768
1697.0,0.453854,0.47232199999999996,0.34096499999999996,0.22568200000000002,0.185758,0.167485,0.100344,0.101741,0.41232,0.426583,0.41259300000000004,0.41296,0.259353,0.241762,0.290543,0.295423,0.283837,0.41940600000000006,0.470409,0.371017,0.525568,0.453416,0.5381940000000001,0.453172,0.37600900000000004,0.546923,0.275248,0.202099,0.18508400000000003,0.19877,0.426733,0.351164,0.30265000000000003,0.37223100000000003,0.437592,0.43418599999999996,0.408238,0.427195,0.141644,0.152026,0.138,0.187043,0.16267600000000002,0.144565,0.158415,0.16174,1.000312,0.999946,0.534165,0.992711,0.99149,0.9928319999999999
1698.0,0.45411700000000005,0.472511,0.341208,0.225714,0.18572399999999997,0.167493,0.100343,0.101804,0.412397,0.42678499999999997,0.412864,0.41308900000000004,0.25939599999999996,0.24187,0.290542,0.295455,0.28238199999999997,0.41844499999999996,0.469303,0.37005000000000005,0.52557,0.453515,0.537976,0.45323599999999997,0.376036,0.546765,0.275397,0.20213599999999998,0.185189,0.19883800000000001,0.426815,0.351205,0.30267900000000003,0.372324,0.437727,0.434365,0.40834699999999996,0.42723700000000003,0.14164300000000002,0.152028,0.137986,0.18709900000000002,0.16279699999999997,0.144557,0.15848,0.16181,1.000305,0.999916,0.534384,0.992727,0.9916200000000001,0.9929089999999999
1699.0,0.45439,0.472664,0.341448,0.225747,0.185702,0.16747499999999998,0.100328,0.10183400000000001,0.412505,0.42694000000000004,0.413102,0.41322499999999995,0.25945599999999996,0.241949,0.29053999999999996,0.295512,0.280846,0.41741500000000004,0.468159,0.369012,0.525559,0.453583,0.537675,0.45325000000000004,0.376044,0.5465720000000001,0.275529,0.20216599999999998,0.185249,0.198904,0.42686599999999997,0.351223,0.30268999999999996,0.372391,0.437847,0.43451799999999996,0.408453,0.42725499999999994,0.141607,0.151992,0.137949,0.187144,0.16291899999999998,0.14455199999999999,0.158535,0.16186599999999998,1.000301,0.999896,0.534582,0.992757,0.991745,0.992961
1700.0,0.45467599999999997,0.47275300000000003,0.341698,0.225767,0.185697,0.16741599999999998,0.10029099999999999,0.10181,0.412666,0.427027,0.413296,0.413372,0.259538,0.24198899999999998,0.290525,0.29560400000000003,0.279207,0.416301,0.46698500000000004,0.367885,0.525552,0.45360999999999996,0.537278,0.45319499999999996,0.376026,0.5463450000000001,0.275641,0.20218,0.18523499999999998,0.198972,0.42686500000000005,0.35119900000000004,0.302674,0.372417,0.43794,0.434646,0.408555,0.427227,0.141512,0.151887,0.13788,0.18718,0.16304300000000002,0.144537,0.15857200000000002,0.16189900000000002,1.0003090000000001,0.999887,0.534757,0.992803,0.991867,0.9929760000000001
1701.0,0.454976,0.472819,0.341954,0.22578099999999998,0.18570499999999998,0.16733399999999998,0.10024,0.101756,0.412857,0.427076,0.41346499999999997,0.413531,0.259636,0.24200500000000003,0.290507,0.295717,0.277487,0.415124,0.465773,0.366691,0.525537,0.45361199999999996,0.536808,0.4531,0.375989,0.546095,0.275743,0.20218499999999998,0.185177,0.199041,0.426837,0.35115,0.30264199999999997,0.372419,0.43802399999999997,0.434758,0.408658,0.427175,0.141386,0.151747,0.137791,0.187214,0.16317299999999998,0.144518,0.15860200000000002,0.161918,1.000317,0.999885,0.534925,0.9928669999999999,0.991995,0.9929749999999999
1702.0,0.45527900000000004,0.472905,0.342192,0.225821,0.185718,0.167262,0.10019700000000001,0.10171200000000001,0.413035,0.427124,0.41362299999999996,0.41369100000000003,0.259737,0.24201499999999998,0.290515,0.295834,0.275727,0.413912,0.464505,0.36546799999999996,0.525473,0.453613,0.536278,0.45299500000000004,0.375948,0.545811,0.27584,0.20220500000000002,0.18513200000000002,0.199101,0.42681800000000003,0.35111800000000004,0.302615,0.37242600000000003,0.438123,0.434846,0.40876199999999996,0.42714599999999997,0.141272,0.151629,0.137705,0.18723700000000001,0.16330100000000003,0.144524,0.158641,0.161946,1.000313,0.999892,0.53508,0.99295,0.9921169999999999,0.99298
1703.0,0.455581,0.47304999999999997,0.34238599999999997,0.225912,0.185733,0.167227,0.10018200000000001,0.101711,0.41316699999999995,0.42719799999999997,0.413782,0.413843,0.259835,0.242029,0.290574,0.295941,0.27396,0.412683,0.463174,0.364244,0.52532,0.45362,0.535685,0.45289999999999997,0.375916,0.545486,0.27593599999999996,0.20226299999999997,0.18514,0.19914500000000002,0.426837,0.35113900000000003,0.302604,0.372461,0.43825899999999995,0.4349,0.408863,0.42718000000000006,0.141204,0.151581,0.137636,0.18724,0.163423,0.14458000000000001,0.158702,0.16200099999999998,1.000281,0.9999089999999999,0.535215,0.9930500000000001,0.9922280000000001,0.993006
1704.0,0.45589199999999996,0.473247,0.34254399999999996,0.22604500000000002,0.185756,0.16722,0.10018700000000001,0.101743,0.413273,0.42728499999999997,0.41393599999999997,0.41399,0.259942,0.24203399999999997,0.29068,0.296052,0.272169,0.411427,0.46179699999999996,0.363005,0.525082,0.453617,0.535011,0.452797,0.375885,0.545121,0.276024,0.20235399999999998,0.185178,0.19917200000000002,0.42688200000000004,0.351205,0.30260000000000004,0.37251199999999995,0.438426,0.43492,0.40896299999999997,0.42727,0.141163,0.15158,0.137574,0.18722000000000003,0.163548,0.14468,0.158775,0.162084,1.000223,0.9999410000000001,0.535323,0.9931709999999999,0.992331,0.993046
1705.0,0.456197,0.473457,0.342684,0.226204,0.185778,0.167223,0.1002,0.101783,0.41335700000000003,0.427376,0.414083,0.414137,0.260041,0.242044,0.290806,0.296157,0.270349,0.410143,0.46035,0.36174500000000004,0.524808,0.45362699999999995,0.5343,0.452698,0.37585500000000005,0.544726,0.27611399999999997,0.202458,0.185238,0.19919499999999998,0.42694000000000004,0.351284,0.302607,0.37257199999999996,0.438606,0.43492,0.409063,0.42737699999999995,0.141143,0.151608,0.13752,0.187194,0.16366399999999998,0.144803,0.158862,0.16216899999999998,1.000157,0.9999760000000001,0.53543,0.993306,0.9924259999999999,0.9930929999999999
1706.0,0.456477,0.473645,0.342824,0.226376,0.18578499999999998,0.16722,0.10021200000000001,0.101809,0.413425,0.427465,0.414223,0.41429000000000005,0.260112,0.242079,0.290921,0.29624500000000004,0.268497,0.408833,0.458806,0.36045699999999997,0.52455,0.453683,0.5336,0.452618,0.375829,0.544313,0.276215,0.202554,0.185319,0.199226,0.426999,0.35134099999999996,0.302633,0.372635,0.438777,0.43491799999999997,0.40916600000000003,0.427465,0.141135,0.151649,0.13747600000000001,0.187182,0.16376000000000002,0.144928,0.158969,0.16222899999999998,1.000102,1.0,0.535563,0.9934499999999999,0.992514,0.993138
1707.0,0.456733,0.473814,0.342975,0.226582,0.18578299999999998,0.167215,0.100228,0.101822,0.413472,0.427562,0.414362,0.414459,0.26015,0.242171,0.291036,0.29631,0.266604,0.407509,0.457138,0.359141,0.524336,0.453832,0.532936,0.45259900000000003,0.37581699999999996,0.543909,0.276343,0.202644,0.185441,0.199284,0.42708100000000004,0.35137500000000005,0.302693,0.372717,0.438962,0.43491399999999997,0.4093,0.427543,0.141152,0.151725,0.13745,0.187203,0.163828,0.145065,0.15911799999999998,0.162256,1.000057,1.00001,0.535756,0.993622,0.992616,0.993192
1708.0,0.456969,0.473972,0.343124,0.226814,0.18577100000000002,0.16721,0.100249,0.101827,0.413499,0.427662,0.414495,0.414636,0.26016300000000003,0.24229399999999998,0.291153,0.296358,0.264676,0.40616100000000005,0.455368,0.357798,0.524135,0.454037,0.53228,0.452612,0.37581200000000003,0.543494,0.276486,0.202733,0.185593,0.199353,0.427176,0.35139600000000004,0.302777,0.372811,0.439154,0.434904,0.40944699999999995,0.427616,0.141189,0.15182700000000002,0.137437,0.18723900000000002,0.163876,0.145213,0.159294,0.162261,1.000017,1.000013,0.535981,0.993813,0.992718,0.9932510000000001
1709.0,0.45717199999999997,0.47408900000000004,0.343258,0.227014,0.185733,0.167183,0.100251,0.101808,0.413514,0.427741,0.414613,0.414798,0.260153,0.24238600000000002,0.291232,0.296399,0.262728,0.40476799999999996,0.453542,0.356432,0.523907,0.4542,0.531594,0.45256399999999997,0.375789,0.543007,0.276615,0.202805,0.18572399999999997,0.19939900000000002,0.427231,0.351391,0.302848,0.372871,0.439291,0.434891,0.40954500000000005,0.427644,0.141218,0.151898,0.137414,0.187254,0.163913,0.145341,0.159446,0.162255,0.9999979999999999,1.000006,0.536177,0.993968,0.992768,0.9932840000000001
1710.0,0.45732500000000004,0.474128,0.343357,0.227126,0.18564599999999998,0.16711099999999998,0.100213,0.10174699999999999,0.41352200000000006,0.42776899999999995,0.41470100000000004,0.41491900000000004,0.260111,0.24238900000000002,0.291232,0.296436,0.260772,0.40330800000000006,0.451689,0.35504800000000003,0.5236160000000001,0.454233,0.530845,0.45237,0.375722,0.542388,0.27670300000000003,0.20284400000000002,0.18578399999999998,0.199388,0.427192,0.351344,0.302873,0.372852,0.439312,0.43487699999999996,0.409533,0.427585,0.141214,0.151884,0.13735799999999998,0.187213,0.163945,0.145418,0.159524,0.162242,1.0000149999999999,0.999989,0.536286,0.9940439999999999,0.992715,0.993264
